Date,TTWO
2026-07-23,201.7657778710127
2026-07-24,203.61570722117722
2026-07-27,214.08563516246704
2026-07-28,217.7941617934266
2026-07-29,216.4222064794958
2026-07-30,215.77132197454557
2026-07-31,210.80354126343082
2026-08-03,212.3611769524814
2026-08-04,208.75357644303585
2026-08-05,203.69516884540644
2026-08-06,201.14466656090735
2026-08-07,213.88804525136948
2026-08-10,219.41920555237084
2026-08-11,216.9505281150341
2026-08-12,210.5036113858223
2026-08-13,209.8085398779458
2026-08-14,214.0809589722585
2026-08-17,208.7534509222187
2026-08-18,209.2760284658052
2026-08-19,204.70774190927114
2026-08-20,205.71729106498424
2026-08-21,205.01646823108604
2026-08-24,199.88767838478088
2026-08-25,199.62566709455132
2026-08-26,199.96158980993278
2026-08-27,199.91632860898972
2026-08-28,201.94108599872015
2026-08-31,189.57693148970793
2026-09-01,186.50946475921955
2026-09-02,186.3991344636097
2026-09-03,184.82845804512908
2026-09-04,184.74074239171023
