Date,GOOG,META,MSFT,AAPL
2023-12-26,128.3817194484518,319.1769470591207,332.86769584698595,173.06745960429726
2023-12-27,126.87925064121373,321.2121936514741,331.65865584946005,172.8002638971666
2023-12-28,125.98697198977789,319.75176857849874,330.76564756247535,172.16180951140814
2023-12-29,126.13413113505521,317.01542000322297,332.6468614148198,171.85376395581443
2024-01-01,126.27513497625478,317.3698077612207,333.0187233747856,172.04587722939323
2024-01-02,125.24118665962305,310.9732598286064,328.9485795030487,166.14571782898565
2024-01-03,127.07559605507777,312.0808771413649,331.6227410177544,166.36338779823654
2024-01-04,125.1351465980224,314.8843163507263,329.6640132163702,164.46079181132518
2024-01-05,124.32275008464785,318.69359387701115,328.9032546329836,163.5072800413909
2024-01-08,127.22393048607046,324.92247971807956,335.26794437635544,167.53885433358846
2024-01-09,128.95015722406242,323.5282626256958,335.9615592770715,167.01518084259442
2024-01-10,130.30114643397428,335.92269198378744,342.80506951262396,168.25849832932818
2024-01-11,129.67665122298058,333.89270038402174,343.1303007915267,167.06355286412872
2024-01-12,130.1139805779867,338.04573999889544,346.3505823052601,167.2614393102731
2024-01-15,130.54121260511693,339.1557203877892,347.48783182079023,167.81064580952716
2024-01-16,130.39642729801471,332.78904231486194,349.0978957365496,165.74368429697643
2024-01-17,130.11493042763323,335.6653694715351,350.52538167126477,165.90049378294498
2024-01-18,131.94242545157795,342.51644499771646,354.25785294161324,171.1940658593321
2024-01-19,134.73637110648815,349.3951448653934,358.7936998102905,173.95918807904764
2024-01-22,134.33720861291476,347.4533724730718,356.4188571143568,175.8624661524882
2024-01-23,135.36961683662594,350.9553903609849,358.96551167018515,177.22921062880505
2024-01-24,137.171604947187,356.69845635816455,363.00409549754113,176.9749665344134
2024-01-25,139.86581323508653,358.1752838809625,364.2863445634721,176.2871784952331
2024-01-26,140.45024917763385,360.1985432023848,364.60333054154944,175.2572325506826
2024-01-29,141.45518469405215,366.60528716134286,369.9499306616417,174.68561745149782
2024-01-30,139.93667576513872,366.0330341366989,369.23771943075735,171.46671848743608
2024-01-31,129.543821198793,356.66286856788065,358.99225644787657,168.00906036518063
2024-02-01,130.85156878846374,362.2235142637146,365.92273878763626,170.87253097960274
2024-02-02,130.75659722628643,432.98429632004627,370.2414618925559,168.84361460383843
2024-02-05,133.1814261339223,422.4572813336945,368.43167712516515,172.00248724440462
2024-02-06,134.09784323055192,419.63201678230143,369.59646493866603,174.1043407957104
2024-02-07,135.07578475330956,432.73544736045005,376.85958183039475,173.9566214572551
2024-02-08,135.3397411408805,432.3678902773827,376.26542714980314,172.6578751657944
2024-02-09,138.0783003027118,430.56882247856265,382.0633636928724,173.34042997206052
2024-02-12,136.44352087100924,430.4587830630844,376.52567406604066,171.44680370705464
2024-02-13,134.60183039796902,423.4156995019184,369.3067127293052,169.92203060893007
2024-02-14,136.110138808177,438.10168850001355,375.0813606572774,170.10481254512342
2024-02-15,132.86199218792535,447.0833501713969,371.5920250299605,169.46955978623373
2024-02-16,130.34281072233807,435.4971039687807,367.8762862928688,167.38983296198057
2024-02-19,130.2093969336147,435.0513462143135,367.49974255513735,167.21849929435848
2024-02-20,130.72908578746137,433.99173915701977,366.668677219408,166.67787800658698
2024-02-21,131.77509272161933,429.52152693901917,364.8351156335957,166.7912519749725
2024-02-22,133.0417255337834,445.8332120400246,373.1754281797712,168.55355527622123
2024-02-23,132.94946626166347,443.691110323427,371.8067438218277,166.78100761367205
2024-02-26,127.03094283958399,441.8214336049514,369.4615829039212,165.62431199238563
2024-02-27,127.90190784641527,445.4203103304644,368.3559938802173,166.49309916647508
2024-02-28,125.53517284728059,442.8990301751073,368.78085218915294,165.48332374283018
2024-02-29,127.7523979407215,448.73800718287566,374.3424973679703,164.96338608465157
2024-03-01,126.5939950485199,461.3207275632667,377.20357463744404,164.48220106132067
2024-03-04,122.60866718980651,455.9542081985128,375.3665582318099,159.74971757601816
2024-03-05,122.08447868761868,448.1442099379328,363.84749099479814,155.0278773149912
2024-03-06,120.96192866346155,453.4759352970377,363.31390654587085,154.10487464944345
2024-03-07,122.91444808030792,466.3224838064052,368.20715012410074,153.38031434353616
2024-03-08,123.29629232628122,458.51255623485304,363.8897713297447,154.23434148959677
2024-03-11,125.77622560195596,438.5369075071558,362.60496491393314,156.16171393398145
2024-03-12,126.52595622671834,453.67239635555234,372.6452045966871,156.76181555581024
2024-03-13,127.60993518261785,450.0253528864232,372.605794626852,154.9122703397461
2024-03-14,130.51735125988944,445.50654890763144,380.7305070924722,156.21144039962292
2024-03-15,129.40437942768676,441.401344992948,375.3142857528328,156.89797184897998
2024-03-18,135.15811115453835,453.179848724365,376.1541375816305,157.90981804457988
2024-03-19,134.75531794335257,452.86450345193225,380.1424774280549,160.1821835068713
2024-03-20,136.4921310743366,461.7848627439562,383.96375254888517,162.6974166521013
2024-03-21,134.71846079672832,460.69699172329274,385.0822618253587,154.9955753670365
2024-03-22,138.4099981568661,465.5340634295608,387.1667710429556,156.89232295999773
2024-03-25,138.54383269509162,461.8722151750626,383.79395203113745,156.37929037849608
2024-03-26,138.65423126054702,454.0361733646787,381.6120943352362,154.89600929342305
2024-03-27,138.94887995971658,452.42258657965976,381.61963910041777,158.26748518492423
2024-03-28,139.48584077123996,445.61789750679236,381.64534841695786,156.87110102957922
2024-03-29,139.7301867905344,446.39851408249706,382.31390030116563,157.14590189013234
2024-04-01,143.64452538236856,451.7760728763933,385.8749234210336,155.84236573681756
2024-04-02,143.80587897085206,459.67536955941614,385.0103709460018,155.55168253324518
2024-04-03,143.8473877010074,466.9724807308703,382.98820199424154,155.8431317232662
2024-04-04,138.87211205271888,467.7925217494885,378.1959948967924,154.0820256864663
2024-04-05,140.716860471759,482.8840190190822,385.1563897524029,154.79411805421114
2024-04-08,142.81452310675286,475.76463485310524,384.54781583823024,153.85598531008418
2024-04-09,144.20204697088957,472.16491410508024,384.89927988061754,154.49695212485767
2024-04-10,143.82213121959012,475.032231498044,382.3260717107041,152.83738619111318
2024-04-11,148.2829484803815,483.3083331974085,390.77563202736565,161.19617198663764
2024-04-12,147.01083265800116,473.56133854902873,385.80303848824406,162.81207037314016
2024-04-15,145.41652242230884,466.1211182445695,380.9926347190594,160.40720998297184
2024-04-16,145.43564585814238,466.72956527186034,382.71645481651285,157.6861881955483
2024-04-17,146.31512464946536,461.6953958952836,380.34055245259333,156.46458676513612
2024-04-18,146.1962376899237,466.7175672551948,371.67208946176106,154.87152720397808
